,m101,m102,m103,m201,m202,m203,m301,m302,m303,m401,m402,m403,m501,m502,m503,m601,m602,m603,m701,m702,m703
cut1,,,,,,,,,,,,,,,,,,,,,
_cons,-1.817**,-0.980,-2.377**,,,,,,,,,,,,,,,,,,
cut2,,,,,,,,,,,,,,,,,,,,,
_cons,0.106,1.306,-0.058,,,,,,,,,,,,,,,,,,
cut3,,,,,,,,,,,,,,,,,,,,,
_cons,1.724**,3.245***,1.899*,,,,,,,,,,,,,,,,,,
cut4,,,,,,,,,,,,,,,,,,,,,
_cons,2.651***,4.276***,2.937***,,,,,,,,,,,,,,,,,,
r2,,,,0.346,0.380,0.401,0.214,0.419,0.496,,,,,,,,,,,,
r2_p,0.091,0.174,0.179,,,,,,,0.208,0.270,0.307,0.311,0.325,0.356,0.016,0.030,0.084,0.010,0.028,0.076
bic,3035.921,2827.333,2874.437,5633.797,5652.325,5668.894,4087.683,3805.441,3854.244,976.732,981.785,1037.231,671.315,735.124,805.468,1675.229,1681.467,1720.652,1697.524,1702.447,1751.330
N,1050.000,1050.000,1050.000,1116.000,1116.000,1116.000,1025.000,1025.000,1025.000,1053.000,1053.000,1053.000,1053.000,1053.000,1053.000,1188.000,1188.000,1188.000,1206.000,1206.000,1206.000
* p<0.05, ** p<0.01, *** p<0.001
